Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-23 03:26:58.939053,BUY,BTC-USD,0.367075,67829.86,,0.00,36.9%
2026-03-23 03:27:59.562360,SELL (Square Off),BTC-USD,0.375473,67823.17,67851.07,10.48,14.4%
2026-03-23 03:27:59.562677,BUY,ETH-USD,22.226871,2045.07,,0.00,2.0%
2026-03-23 03:29:00.122607,SELL (Square Off),ETH-USD,0.680527,2043.09,2045.05,1.33,57.8%
2026-03-23 03:30:00.969815,SELL (Square Off),BTC-USD,0.081647,67823.17,67869.15,3.75,23.7%
2026-03-23 03:31:01.758206,SELL (Square Off),ETH-USD,3.877460,2043.09,2043.30,0.81,59.7%
2026-03-23 03:32:02.383456,SELL (Square Off),ETH-USD,29.620987,2043.09,2044.34,36.92,42.4%
2026-03-23 03:33:02.906000,SELL (Square Off),ETH-USD,9.552705,2043.09,2044.52,13.61,28.0%
2026-03-23 03:34:03.578932,BUY,BTC-USD,0.731921,67877.45,,0.00,38.3%
2026-03-23 03:34:03.579260,BUY,ETH-USD,22.123923,2045.79,,0.00,11.6%
2026-03-23 03:35:04.026356,SELL (Square Off),ETH-USD,9.672132,2045.57,2045.79,2.13,27.8%
2026-03-23 03:36:04.853716,SELL (Square Off),ETH-USD,10.198331,2045.57,2037.76,-79.70,39.3%
2026-03-23 03:37:05.800796,SELL (Square Off),BTC-USD,0.392904,67875.98,67619.69,-100.70,53.9%
2026-03-23 03:38:06.328623,SELL (Square Off),BTC-USD,0.102188,67875.98,67799.59,-7.81,26.9%
2026-03-23 03:38:06.329134,BUY,ETH-USD,36.277577,2041.63,,0.00,11.7%
2026-03-23 03:39:06.852562,SELL (Square Off),ETH-USD,26.017830,2042.04,2045.08,79.26,39.3%
2026-03-23 03:40:07.508150,BUY,BTC-USD,0.566843,67852.08,,0.00,53.4%
2026-03-23 03:40:07.508376,BUY,ETH-USD,7.216209,2043.62,,0.00,27.0%
2026-03-23 03:41:08.098051,SELL (Square Off),ETH-USD,1.509857,2042.56,2045.31,4.14,7.9%
